visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Task Duration(us): 287.500
Profile source instructions: 25948546
Selected source instructions: 25948546
Profile%  Selected%  Est(us)    Instructions Executed  Records  Lines       Function  Hot Lines
   0.00       0.00      0.012  1120                   1       147-165     FixpipeOut                           162:1120
   0.00       0.00      0.012  1120                   3       257-280     FixpipeL0C2GMImpl                    279:800, 265:160, 277:160
   0.00       0.00      0.012  1120                   1       141-162     Fixpipe                              153:1120
   0.00       0.00      0.012  1040                   2       unknown     <unknown>                            102:960, 281:80
   0.00       0.00      0.012  1040                   1       275-278     KfcMsgGetFunID                       277:1040
   0.00       0.00      0.011  1020                   9       357-383     ClearWorkspaceImpl                   378:340, 379:300, 371:140, 373:60, 374:40, 375:40, 376:40, 382:40
   0.00       0.00      0.011  980                    1       23-159      MATMUL_POLICY_TEMPLATE_OF            39:980
   0.00       0.00      0.011  980                    1       26-262      MATMUL_IMPORT_MODULE_PRIVATE         84:980
   0.00       0.00      0.011  960                    2       115-119     Free                                 117:480, 118:480
   0.00       0.00      0.011  960                    1       271-274     KfcMsgGetInstID                      273:960
   0.00       0.00      0.011  960                    2       132-156     SetOrgShape                          153:800, 154:160
   0.00       0.00      0.011  960                    3       21-53       GetOffsetSize                        35:480, 40:480, 42:0
   0.00       0.00      0.010  900                    7       37-53       Init                                 45:260, 40:240, 52:160, 41:100, 43:60, 44:40, 47:40
   0.00       0.00      0.010  880                    36      937-1012    FlushResolvedGroups                  1011:760, 1008:80, 1012:40, 1003:0, 938:0, 943:0, 944:0, 947:0
   0.00       0.00      0.008  760                    3       65-72       SetOrgShape                          67:360, 71:360, 69:40
   0.00       0.00      0.008  720                    5       525-552     InitShareBufStart                    538:320, 540:280, 546:40, 547:40, 549:40
   0.00       0.00      0.007  640                    2       103-107     TqSyncMte2ToV                        103:480, 104:160
   0.00       0.00      0.007  640                    1       404-411     SetOrgShape                          410:640
   0.00       0.00      0.007  640                    3       47-58       SetGlobalTensor                      50:320, 53:160, 56:160
   0.00       0.00      0.007  640                    1       240-243     IsBufferCaching                      242:640
   0.00       0.00      0.007  640                    1       59-62       GetTensor                            61:640
   0.00       0.00      0.007  640                    3       358-404     InitSplitAParams                     382:320, 381:160, 392:160
   0.00       0.00      0.007  640                    1       95-98       InnerEnd                             97:640
   0.00       0.00      0.007  640                    1       87-90       IsLastOuterIter                      89:640
   0.00       0.00      0.006  560                    2       384-402     GetMsgHead                           401:400, 400:160
   0.00       0.00      0.006  520                    1       440-445     SetSubBlockIdx                       444:520
   0.00       0.00      0.006  520                    1       27-34       SetSubBlockIdx                       33:520
   0.00       0.00      0.006  520                    1       38-51       Init                                 48:520
   0.00       0.00      0.006  520                    4       237-264     TPipeBase::AuxShareBufStart          241:280, 244:160, 243:40, 252:40
   0.00       0.00      0.006  520                    1       885-888     TPipe::InitSocState                  887:520
   0.00       0.00      0.006  520                    5       42-72       InitSocStateImpl                     44:240, 46:160, 51:80, 48:20, 49:20
   0.00       0.00      0.005  480                    2       273-277     wait_packed_ub_to_gm_async           273:240, 274:240
   0.00       0.00      0.005  480                    1       157-161     IsTransposeA                         160:480
   0.00       0.00      0.005  480                    1       163-167     IsTransposeB                         166:480
   0.00       0.00      0.005  480                    4       442-453     SetAtomic                            445:480, 446:0, 448:0, 450:0
   0.00       0.00      0.005  480                    3       406-452     InitSplitBParams                     416:160, 443:160, 444:160
   0.00       0.00      0.005  480                    1       474-496     UpdateMmadComputeParams              491:480
   0.00       0.00      0.005  480                    2       414-431     Load3DSetFMatrixBCal                 421:320, 429:160
   0.00       0.00      0.005  480                    1       57-62       ResetMaskImpl                        60:480
   0.00       0.00      0.005  480                    1       43-46       ConstCeil                            45:480
   0.00       0.00      0.005  480                    1       100-106     ResetMask                            105:480
