visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /root/x00827378/vllm-ascend/mytmp/build_libcust_opapi_nodebug_debug_line/binary/ascend910b/src/turboquant_pack_kv_for_cache4bit/turboquant_pack_kv_for_cache4bit.cpp
Line  Instructions Executed  Records  Range Count
1700  1040                   1       1
1774  860                    1       3
1784  180                    1       4
1785  0                      1       4
1788  2800                   1       6
1789  2060                   1       7
1790  673388                 1       13
1791  3200                   1       10
1796  80                     1       2
1797  40                     1       1
1798  80                     1       2
1800  40                     1       1
1801  80                     1       1
1803  80                     1       1
1805  80                     1       2
1808  12760                  1       2
1817  2174074                1       1
1818  17220                  1       4

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/matmul_impl.h
Line  Instructions Executed  Records  Range Count
39    980                    1       4

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/matmul_impl_base.h
Line  Instructions Executed  Records  Range Count
84    980                    1       4
301   160                    1       1
320   0                      1       1
383   40                     1       2
384   4720                   1       6
410   640                    1       1
428   0                      1       1
429   0                      1       1
431   0                      1       1
433   0                      1       2
434   0                      1       1
436   0                      1       1
444   520                    1       2
451   25600                  1       3
476   1636                   1       2
477   62                     1       2
478   1178                   1       3
480   960                    1       1
481   0                      1       2
482   0                      1       2
484   800                    1       1
485   0                      1       2
486   0                      1       2
498   2240                   1       1
499   160                    1       1
566   2240                   1       1
567   160                    1       1
649   14080                  1       8
670   140880                 1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../param/matmul_shape_info.h
Line  Instructions Executed  Records  Range Count
32    200                    1       3
37    160                    1       1
67    360                    1       6
69    40                     1       1
71    360                    1       3
121   62                     1       2
126   0                      1       2
131   0                      1       2
137   40                     1       1
143   40                     1       2
147   120                    1       4
153   40                     1       1
160   480                    1       4
166   480                    1       4
230   40                     1       2
243   40                     1       2

